GEO,TIME,DAYSWEEK,SEX,emp,household,leisure,pc,study,travel,unspec,happyness,RAND_1,RAND_2,RAND_3
Netherlands,2010,D,Male,4:40,2:05,4:53,10:26,0:17,1:39,0:12,7.6,12,10,110
Netherlands,2010,W,Male,0:52,2:31,7:13,11:56,0:08,1:19,0:10,7.6,0,10,121
Norway,2000,All,All,3:21,3:04,5:46,10:16,0:14,1:16,0:03,7.6,9,15,110
Norway,2000,D,All,4:18,2:59,5:10,9:55,0:16,1:18,0:03,7.6,12,10,99
Norway,2000,W,All,1:00,3:15,7:16,11:09,0:07,1:11,0:02,7.6,3,15,121
Norway,2000,All,Female,2:38,3:47,5:40,10:27,0:15,1:11,0:03,7.6,6,15,110
Norway,2000,D,Female,3:20,3:48,5:11,10:06,0:18,1:13,0:03,7.6,9,15,110
Norway,2000,W,Female,0:51,3:42,6:53,11:17,0:09,1:05,0:02,7.6,0,15,121
Norway,2000,All,Male,4:04,2:21,5:52,10:06,0:12,1:21,0:03,7.6,12,10,110
Norway,2000,D,Male,5:16,2:10,5:09,9:44,0:15,1:22,0:03,7.6,15,10,99
Norway,2000,W,Male,1:08,2:49,7:38,11:01,0:05,1:16,0:03,7.6,3,10,121
Norway,2010,All,All,3:13,3:07,5:43,10:21,0:12,1:24,0:05,7.6,9,15,110
Norway,2010,D,All,4:09,3:00,5:07,10:00,0:14,1:29,0:05,7.6,12,15,110
Norway,2010,W,All,0:51,3:25,7:14,11:14,0:05,1:12,0:06,7.6,0,15,121
Norway,2010,All,Female,2:40,3:38,5:38,10:31,0:12,1:20,0:05,7.6,6,15,110
Norway,2010,D,Female,3:27,3:32,5:09,10:14,0:15,1:23,0:04,7.6,9,15,110
Norway,2010,W,Female,0:47,3:52,6:48,11:14,0:05,1:13,0:08,7.6,0,15,121
Norway,2010,All,Male,3:45,2:37,5:48,10:11,0:11,1:29,0:05,7.6,9,10,110
Norway,2010,D,Male,4:49,2:30,5:05,9:47,0:13,1:35,0:05,7.6,12,10,99
Norway,2010,W,Male,0:55,2:56,7:41,11:14,0:04,1:10,0:05,7.6,0,10,121
Poland,2000,All,All,3:06,3:36,4:55,10:54,0:14,1:10,0:05,6.2,9,15,110
